Employee Number,Last Name,First Name,Birthday,Address,Phone Number,SSS,Philhealth #,TIN ,Pag-ibig ,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10001,Garcia,Manuel III,10/11/1983,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,44-4506057-3,82-000000000-0,442-605-657-000,6910-0000-0000,Regular,Chief Executive Officer,N/A,90000,1500,2000,1000,45000,535.71
10002,Lim,Antonio,06/19/1988,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,52-2061274-9,33-200000000-0,683-102-776-000,6640-0000-0000,Regular,Chief Operating Officer,Garci  Manuel III,60000,1500,2000,1000,30000,357.14
10003,Aquino,Bianca Sofia,08/04/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,30-8870406-2,17-700000000-0,971-711-280-000,1720-0000-0000,Regular,Chief Finance Officer,Garcia Manuel III,60000,1500,2000,1000,30000,357.14
10004,Reyes,Isabella,06/16/1994,460 Solanda Street Intramuros 1000 Manila,786-868-477,40-2511815-0,34-200000000-0,876-809-437-000,4170-0000-0000,Regular,Chief Marketing Officer,Garcia Manuel III,60000,1500,2000,1000,30000,357.14
10005,Hernandez,Eduard,09/23/1989,National Highway Gingoog  Misamis Occidental,088-861-012,50-5577638-1,95-700000000-0,031-702-374-000,9520-0000-0000,Regular,IT Operations and Systems,Lim Antonio,52670,1500,1000,1000,26335,313.51
10006,Villanueva,Andrea Mae,02/14/1988,17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands ,918-621-603,49-1632020-8,38-200000000-0,317-674-022-000,4410-0000-0000,Regular,HR Manager,Lim Antonio,52670,1500,1000,1000,26335,313.51
10007,San Jose,Brad ,03/15/1996,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi,797-009-261,40-2400714-1,23-900000000-0,672-474-690-000,2110-0000-0000,Regular,HR Team Leader,Villanueva Andrea Mae,42975,1500,800,800,21487.5,255.8
10008,Romualdez,Alice,05/14/1992,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte ,983-606-799,55-4476527-2,54-600000000-0,888-572-294-000,2110-0000-0000,Regular,HR Rank and File,San Jose Brad,22500,1500,500,500,11250,133.93
10009,Atienza,Rosie ,09/24/1948,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,41-0644692-3,70-900000000-0,604-997-793-000,2600-0000-0000,Regular,HR Rank and File,San Jose Brad,22500,1500,500,500,11250,133.93
10010,Alvaro,Roderick,03/30/1988,#284 T. Morato corner Scout Rallos Street Quezon City,053-381-386,64-7605054-4,57-800000000-0,525-420-419-000,7990-0000-0000,Regular,Accounting Head,Aquino Bianca Sofia ,52670,1500,1000,1000,26335,313.51
10011,Salcedo,Anthony,09/14/1993,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate,070-766-300,26-9647608-3,12-600000000-0,210-805-911-000,2180-0000-0000,Regular,Payroll Manager,Alvaro Roderick,50825,1500,1000,1000,25412.5,302.53
10012,Lopez,Josie ,01/14/1987,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro,478-355-427,44-8563448-3,43-200000000-0,218-489-737-000,1130-0000-0000,Regular,Payroll Team Leader,Salcedo Anthony,38475,1500,800,800,19237.5,229.02
10013,Farala,Martha,01/11/1942,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte ,329-034-366,45-5656375-0,23-400000000-0,210-835-851-000,6310-0000-0000,Regular,Payroll Rank and File,Salcedo Anthony,24000,1500,500,500,12000,142.86
10014,Martinez,Leila,07/11/1970,37/46 Kulas Roads Maragondon 0962 Quirino ,877-110-749,27-2090996-4,51-600000000-0,275-792-513-000,1010-0000-0000,Regular,Payroll Rank and File,Salcedo Anthony,24000,1500,500,500,12000,142.86
10015,Romualdez,Fredrick ,03/10/1985,22A/52 Lubowitz Meadows Pililla 4895 Zambales,023-079-009,26-8768374-1,30-800000000-0,598-065-761-000,2230-0000-0000,Regular,Account Manager,Lim Antonio,53500,1500,1000,1000,26750,318.45
10016,Mata,Christian,10/21/1987,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu ,783-776-744,49-2959312-6,82-400000000-0,103-100-522-000,6310-0000-0000,Regular,Account Team Leader,Romualdez Fredrick ,42975,1500,800,800,21487.5,255.8
10017,De Leon,Selena ,02/20/1975,89A Armstrong Trace Compostela 7874 Maguindanao,975-432-139,27-2090208-8,58-700000000-0,482-259-498-000,7190-0000-0000,Regular,Account Team Leader,Romualdez Fredrick ,41850,1500,800,800,20925,249.11
10018,San Jose,Allison ,06/24/1986,08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union,179-075-129,45-3251383-0,74-500000000-0,121-203-336-000,1150-0000-0000,Regular,Account Rank and File,Mata Christian,22500,1500,500,500,11250,133.93
10019,Rosario,Cydney ,10/06/1996,93A/21 Berge Points Tapaz 2180 Quezon,868-819-912,49-1629900-2,57-900000000-0,122-244-511-000,2650-0000-0000,Regular,Account Rank and File,Mata Christian,22500,1500,500,500,11250,133.93
10020,Bautista,Mark ,02/12/1991,65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino,683-725-348,49-1647342-5,40-000000000-0,273-970-941-000,2600-0000-0000,Regular,Account Rank and File,Mata Christian,23250,1500,500,500,11625,138.39
10021,Lazaro,Darlene ,11/25/1985,47A/94 Larkin Plaza Apt. 179 Poblacion Caloocan 2751 Quirino,740-721-558,45-5617168-2,60-600000000-0,354-650-951-000,1050-0000-0000,Probationary,Account Rank and File,Mata Christian,23250,1500,500,500,11625,138.39
10022,Delos Santos,Kolby ,02/26/1980,06A Gulgowski Extensions Bongabon 6085 Zamboanga del Sur,739-443-033,52-0109570-6,35-700000000-0,187-500-345-000,1130-0000-0000,Probationary,Account Rank and File,Mata Christian,24000,1500,500,500,12000,142.86
10023,Santos,Vella ,12/31/1983,99A Padberg Spring Poblacion Mabalacat 3959 Lanao del Sur,955-879-269,52-9883524-3,54-900000000-0,101-558-994-000,3600-0000-0000,Probationary,Account Rank and File,Mata Christian,22500,1500,500,500,11250,133.93
10024,Del Rosario,Tomas,12/18/1978,80A/48 Ledner Ridges Poblacion Kabankalan 8870 Marinduque,882-550-989,45-5866331-6,95-400000000-0,560-735-732-000,9130-0000-0000,Probationary,Account Rank and File,Mata Christian,22500,1500,500,500,11250,133.93
10025,Tolentino,Jacklyn ,05/19/1984,96/48 Watsica Flats Suite 734 Poblacion Malolos 1844 Ifugao,675-757-366,47-1692793-0,75-400000000-0,841-177-857-000,2110-0000-0000,Probationary,Account Rank and File,De Leon Selena,24000,1500,500,500,12000,142.86
