Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10001,Garcia,Manuel III,11/10/1983,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,44-4506057-3,82-012685395-1,442-605-657-000,6912-9533-0870,Regular,Chief Executive Officer,N/A,90000.00 ,1500.00 ,2000.00 ,1000.00 ,45000.00 ,535.71 
10002,Lim,Antonio,19/06/1988,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,52-2061274-9,33-173564633-8,683-102-776-000,6639-0499-5411,Regular,Chief Operating Officer,Garcia Manuel III,60000.00 ,1500.00 ,2000.00 ,1000.00 ,30000.00 ,357.14 
10003,Aquino,Bianca Sofia,04/08/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,30-8870406-2,17-745118966-5,971-711-280-000,1715-1977-3969,Regular,Chief Finance Officer,Garcia Manuel III,60000.00 ,1500.00 ,2000.00 ,1000.00 ,30000.00 ,357.14 
10004,Reyes,Isabella,16/06/1994,460 Solanda Street Intramuros 1000 Manila,786-868-477,40-2511815-0,34-191141125-4,876-809-437-000,4169-4677-6041,Regular,Chief Marketing Officer,Garcia Manuel III,60000.00 ,1500.00 ,2000.00 ,1000.00 ,30000.00 ,357.14 
10005,Hernandez,Eduard,23/09/1989,National Highway Gingoog  Misamis Occidental,088-861-012,50-5577638-1,95-743619181-2,031-702-374-000,9523-4722-2457,Regular,IT Operations and Systems,Lim Antonio,52670.00 ,1500.00 ,1000.00 ,1000.00 ,26335.00 ,313.51 
10006,Villanueva,Andrea Mae,14/02/1988,17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands ,918-621-603,49-1632020-8,38-218945314-5,317-674-022-000,4410-9336-9646,Regular,HR Manager,Lim Antonio,52670.00 ,1500.00 ,1000.00 ,1000.00 ,26335.00 ,313.51 
10007,San Jose,Brad ,15/03/1996,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi,797-009-261,40-2400714-1,23-919292693-9,672-474-690-000,2108-5020-9964,Regular,HR Team Leader,Villanueva Andrea Mae,42975.00 ,1500.00 ,800.00 ,800.00 ,21487.50 ,255.80 
10008,Romualdez,Alice,14/05/1992,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte ,983-606-799,55-4476527-2,54-565264023-2,888-572-294-000,2113-8555-6888,Regular,HR Rank and File,San Jose Brad,22500.00 ,1500.00 ,500.00 ,500.00 ,11250.00 ,133.93 
10009,Atienza,Rosie ,24/09/1948,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,41-0644692-3,70-898823485-3,604-997-793-000,2601-0773-2354,Regular,HR Rank and File,San Jose Brad,22500.00 ,1500.00 ,500.00 ,500.00 ,11250.00 ,133.93 
10010,Alvaro,Roderick,30/03/1988,#284 T. Morato corner Scout Rallos Street Quezon City,053-381-386,64-7605054-4,57-811485319-4,525-420-419-000,7992-5409-5212,Regular,Accounting Head,Aquino Bianca Sofia ,52670.00 ,1500.00 ,1000.00 ,1000.00 ,26335.00 ,313.51 
10011,Salcedo,Anthony,14/09/1993,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate,070-766-300,26-9647608-3,12-644531565-1,210-805-911-000,2180-0247-3454,Regular,Payroll Manager,Alvaro Roderick,50825.00 ,1500.00 ,1000.00 ,1000.00 ,25412.50 ,302.53 
10012,Lopez,Josie ,14/01/1987,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro,478-355-427,44-8563448-3,43-170901101-2,218-489-737-000,1130-7129-3354,Regular,Payroll Team Leader,Salcedo Anthony,38475.00 ,1500.00 ,800.00 ,800.00 ,19237.50 ,229.02 
10013,Farala,Martha,11/01/1942,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte ,329-034-366,45-5656375-0,23-369389724-7,210-835-851-000,6311-3028-3546,Regular,Payroll Rank and File,Salcedo Anthony,24000.00 ,1500.00 ,500.00 ,500.00 ,12000.00 ,142.86 
10014,Martinez,Leila,11/07/1970,37/46 Kulas Roads Maragondon 0962 Quirino ,877-110-749,27-2090996-4,51-574105749-6,275-792-513-000,1012-0544-5886,Regular,Payroll Rank and File,Salcedo Anthony,24000.00 ,1500.00 ,500.00 ,500.00 ,12000.00 ,142.86 
10015,Romualdez,Fredrick ,10/03/1985,22A/52 Lubowitz Meadows Pililla 4895 Zambales,023-079-009,26-8768374-1,30-836686005-9,598-065-761-000,2230-5770-7853,Regular,Account Manager,Lim Antonio,53500.00 ,1500.00 ,1000.00 ,1000.00 ,26750.00 ,318.45 
10016,Mata,Christian,21/10/1987,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu ,783-776-744,49-2959312-6,82-418796196-2,103-100-522-000,6310-5285-3464,Regular,Account Team Leader,Romualdez Fredrick ,42975.00 ,1500.00 ,800.00 ,800.00 ,21487.50 ,255.80 
